"LOCATION","Country","SUBJECT","Subject","SECTOR","Sector","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Value","Flag Codes","Flags"
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","01","Total Economy","ST","Level, ratio or national currency","A","Annual","1981","1981",0.6856067,"E","Estimated value"
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","01","Total Economy","ST","Level, ratio or national currency","A","Annual","1982","1982",0.6981915,"E","Estimated value"
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","01","Total Economy","ST","Level, ratio or national currency","A","Annual","1983","1983",0.6510478,"E","Estimated value"
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","01","Total Economy","ST","Level, ratio or national currency","A","Annual","1984","1984",0.6467842,"E","Estimated value"
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","01","Total Economy","ST","Level, ratio or national currency","A","Annual","1985","1985",0.6424625,"E","Estimated value"
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","01","Total Economy","ST","Level, ratio or national currency","A","Annual","1986","1986",0.6335623,"E","Estimated value"
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","01","Total Economy","ST","Level, ratio or national currency","A","Annual","1987","1987",0.6150572,"E","Estimated value"
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","01","Total Economy","ST","Level, ratio or national currency","A","Annual","1988","1988",0.6054884,"E","Estimated value"
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","01","Total Economy","ST","Level, ratio or national currency","A","Annual","1989","1989",0.6215923,,
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","01","Total Economy","ST","Level, ratio or national currency","A","Annual","1990","1990",0.6323749,,
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","01","Total Economy","ST","Level, ratio or national currency","A","Annual","1991","1991",0.6307924,,
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","01","Total Economy","ST","Level, ratio or national currency","A","Annual","1992","1992",0.6194814,,
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","01","Total Economy","ST","Level, ratio or national currency","A","Annual","1993","1993",0.6144636,,
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","01","Total Economy","ST","Level, ratio or national currency","A","Annual","1994","1994",0.6188805,,
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","01","Total Economy","ST","Level, ratio or national currency","A","Annual","1995","1995",0.6186695,,
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","01","Total Economy","ST","Level, ratio or national currency","A","Annual","1996","1996",0.6247563,,
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","01","Total Economy","ST","Level, ratio or national currency","A","Annual","1997","1997",0.62189,,
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","01","Total Economy","ST","Level, ratio or national currency","A","Annual","1998","1998",0.616497,,
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","01","Total Economy","ST","Level, ratio or national currency","A","Annual","1999","1999",0.6174839,,
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","01","Total Economy","ST","Level, ratio or national currency","A","Annual","2000","2000",0.6089718,,
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","01","Total Economy","ST","Level, ratio or national currency","A","Annual","2001","2001",0.5984028,,
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","01","Total Economy","ST","Level, ratio or national currency","A","Annual","2002","2002",0.6013654,,
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","01","Total Economy","ST","Level, ratio or national currency","A","Annual","2003","2003",0.5964251,,
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","01","Total Economy","ST","Level, ratio or national currency","A","Annual","2004","2004",0.593241,,
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","01","Total Economy","ST","Level, ratio or national currency","A","Annual","2005","2005",0.5845146,,
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","01","Total Economy","ST","Level, ratio or national currency","A","Annual","2006","2006",0.5821854,,
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","01","Total Economy","ST","Level, ratio or national currency","A","Annual","2007","2007",0.5815856,,
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","01","Total Economy","ST","Level, ratio or national currency","A","Annual","2008","2008",0.5599551,,
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","01","Total Economy","ST","Level, ratio or national currency","A","Annual","2009","2009",0.5607736,,
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","01","Total Economy","ST","Level, ratio or national currency","A","Annual","2010","2010",0.5521483,,
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","01","Total Economy","ST","Level, ratio or national currency","A","Annual","2011","2011",0.5564135,,
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","02","Manufacturing (D)","ST","Level, ratio or national currency","A","Annual","1970","1970",0.654319,,
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","02","Manufacturing (D)","ST","Level, ratio or national currency","A","Annual","1971","1971",0.6636481,,
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","02","Manufacturing (D)","ST","Level, ratio or national currency","A","Annual","1972","1972",0.6615896,,
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","02","Manufacturing (D)","ST","Level, ratio or national currency","A","Annual","1973","1973",0.6958557,,
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","02","Manufacturing (D)","ST","Level, ratio or national currency","A","Annual","1974","1974",0.7214038,,
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","02","Manufacturing (D)","ST","Level, ratio or national currency","A","Annual","1975","1975",0.708972,,
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","02","Manufacturing (D)","ST","Level, ratio or national currency","A","Annual","1976","1976",0.6970574,,
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","02","Manufacturing (D)","ST","Level, ratio or national currency","A","Annual","1977","1977",0.6997551,,
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","02","Manufacturing (D)","ST","Level, ratio or national currency","A","Annual","1978","1978",0.6925035,,
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","02","Manufacturing (D)","ST","Level, ratio or national currency","A","Annual","1979","1979",0.6771458,,
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","02","Manufacturing (D)","ST","Level, ratio or national currency","A","Annual","1980","1980",0.6754023,,
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","02","Manufacturing (D)","ST","Level, ratio or national currency","A","Annual","1981","1981",0.6959484,,
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","02","Manufacturing (D)","ST","Level, ratio or national currency","A","Annual","1982","1982",0.6924706,,
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","02","Manufacturing (D)","ST","Level, ratio or national currency","A","Annual","1983","1983",0.6382829,,
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","02","Manufacturing (D)","ST","Level, ratio or national currency","A","Annual","1984","1984",0.6220165,,
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","02","Manufacturing (D)","ST","Level, ratio or national currency","A","Annual","1985","1985",0.6078403,,
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","02","Manufacturing (D)","ST","Level, ratio or national currency","A","Annual","1986","1986",0.603707,,
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","02","Manufacturing (D)","ST","Level, ratio or national currency","A","Annual","1987","1987",0.5897925,,
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","02","Manufacturing (D)","ST","Level, ratio or national currency","A","Annual","1988","1988",0.5909581,,
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","02","Manufacturing (D)","ST","Level, ratio or national currency","A","Annual","1989","1989",0.5998697,,
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","02","Manufacturing (D)","ST","Level, ratio or national currency","A","Annual","1990","1990",0.6421034,,
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","02","Manufacturing (D)","ST","Level, ratio or national currency","A","Annual","1991","1991",0.6198907,,
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","02","Manufacturing (D)","ST","Level, ratio or national currency","A","Annual","1992","1992",0.6009054,,
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","02","Manufacturing (D)","ST","Level, ratio or national currency","A","Annual","1993","1993",0.5717389,,
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","02","Manufacturing (D)","ST","Level, ratio or national currency","A","Annual","1994","1994",0.5742233,,
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","02","Manufacturing (D)","ST","Level, ratio or national currency","A","Annual","1995","1995",0.6046978,,
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","02","Manufacturing (D)","ST","Level, ratio or national currency","A","Annual","1996","1996",0.5963316,,
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","02","Manufacturing (D)","ST","Level, ratio or national currency","A","Annual","1997","1997",0.5789251,,
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","02","Manufacturing (D)","ST","Level, ratio or national currency","A","Annual","1998","1998",0.5856226,,
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","02","Manufacturing (D)","ST","Level, ratio or national currency","A","Annual","1999","1999",0.5882245,,
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","02","Manufacturing (D)","ST","Level, ratio or national currency","A","Annual","2000","2000",0.6011698,,
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","02","Manufacturing (D)","ST","Level, ratio or national currency","A","Annual","2001","2001",0.5951765,,
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","02","Manufacturing (D)","ST","Level, ratio or national currency","A","Annual","2002","2002",0.5898731,,
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","02","Manufacturing (D)","ST","Level, ratio or national currency","A","Annual","2003","2003",0.5503694,,
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","02","Manufacturing (D)","ST","Level, ratio or national currency","A","Annual","2004","2004",0.5782946,,
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","02","Manufacturing (D)","ST","Level, ratio or national currency","A","Annual","2005","2005",0.5812473,,
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","02","Manufacturing (D)","ST","Level, ratio or national currency","A","Annual","2006","2006",0.5939314,,
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","03","Industry (C_E)","ST","Level, ratio or national currency","A","Annual","1970","1970",0.6362327,"E","Estimated value"
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","03","Industry (C_E)","ST","Level, ratio or national currency","A","Annual","1971","1971",0.6381723,"E","Estimated value"
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","03","Industry (C_E)","ST","Level, ratio or national currency","A","Annual","1972","1972",0.6307005,"E","Estimated value"
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","03","Industry (C_E)","ST","Level, ratio or national currency","A","Annual","1973","1973",0.6571843,"E","Estimated value"
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","03","Industry (C_E)","ST","Level, ratio or national currency","A","Annual","1974","1974",0.6821743,"E","Estimated value"
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","03","Industry (C_E)","ST","Level, ratio or national currency","A","Annual","1975","1975",0.6474302,"E","Estimated value"
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","03","Industry (C_E)","ST","Level, ratio or national currency","A","Annual","1976","1976",0.6336253,"E","Estimated value"
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","03","Industry (C_E)","ST","Level, ratio or national currency","A","Annual","1977","1977",0.63344,"E","Estimated value"
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","03","Industry (C_E)","ST","Level, ratio or national currency","A","Annual","1978","1978",0.6064176,"E","Estimated value"
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","03","Industry (C_E)","ST","Level, ratio or national currency","A","Annual","1979","1979",0.580039,"E","Estimated value"
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","03","Industry (C_E)","ST","Level, ratio or national currency","A","Annual","1980","1980",0.5818108,"E","Estimated value"
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","03","Industry (C_E)","ST","Level, ratio or national currency","A","Annual","1981","1981",0.6014169,"E","Estimated value"
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","03","Industry (C_E)","ST","Level, ratio or national currency","A","Annual","1982","1982",0.5879058,"E","Estimated value"
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","03","Industry (C_E)","ST","Level, ratio or national currency","A","Annual","1983","1983",0.5418623,"E","Estimated value"
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","03","Industry (C_E)","ST","Level, ratio or national currency","A","Annual","1984","1984",0.5274147,"E","Estimated value"
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","03","Industry (C_E)","ST","Level, ratio or national currency","A","Annual","1985","1985",0.5232576,"E","Estimated value"
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","03","Industry (C_E)","ST","Level, ratio or national currency","A","Annual","1986","1986",0.537389,"E","Estimated value"
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","03","Industry (C_E)","ST","Level, ratio or national currency","A","Annual","1987","1987",0.5254811,"E","Estimated value"
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","03","Industry (C_E)","ST","Level, ratio or national currency","A","Annual","1988","1988",0.5375676,"E","Estimated value"
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","03","Industry (C_E)","ST","Level, ratio or national currency","A","Annual","1989","1989",0.5280838,,
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","03","Industry (C_E)","ST","Level, ratio or national currency","A","Annual","1990","1990",0.5421014,,
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","03","Industry (C_E)","ST","Level, ratio or national currency","A","Annual","1991","1991",0.5217006,,
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","03","Industry (C_E)","ST","Level, ratio or national currency","A","Annual","1992","1992",0.5069561,,
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","03","Industry (C_E)","ST","Level, ratio or national currency","A","Annual","1993","1993",0.4925252,,
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","03","Industry (C_E)","ST","Level, ratio or national currency","A","Annual","1994","1994",0.4926347,,
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","03","Industry (C_E)","ST","Level, ratio or national currency","A","Annual","1995","1995",0.5130415,,
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","03","Industry (C_E)","ST","Level, ratio or national currency","A","Annual","1996","1996",0.5084269,,
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","03","Industry (C_E)","ST","Level, ratio or national currency","A","Annual","1997","1997",0.4883143,,
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","03","Industry (C_E)","ST","Level, ratio or national currency","A","Annual","1998","1998",0.492321,,
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","03","Industry (C_E)","ST","Level, ratio or national currency","A","Annual","1999","1999",0.4822341,,
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","03","Industry (C_E)","ST","Level, ratio or national currency","A","Annual","2000","2000",0.4656873,,
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","03","Industry (C_E)","ST","Level, ratio or national currency","A","Annual","2001","2001",0.4635068,,
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","03","Industry (C_E)","ST","Level, ratio or national currency","A","Annual","2002","2002",0.4704573,,
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","03","Industry (C_E)","ST","Level, ratio or national currency","A","Annual","2003","2003",0.4554958,,
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","03","Industry (C_E)","ST","Level, ratio or national currency","A","Annual","2004","2004",0.4462874,,
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","03","Industry (C_E)","ST","Level, ratio or national currency","A","Annual","2005","2005",0.4166311,,
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","03","Industry (C_E)","ST","Level, ratio or national currency","A","Annual","2006","2006",0.4144387,,
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","04","Construction (F)","ST","Level, ratio or national currency","A","Annual","1970","1970",0.8798305,"E","Estimated value"
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","04","Construction (F)","ST","Level, ratio or national currency","A","Annual","1971","1971",0.8696133,"E","Estimated value"
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","04","Construction (F)","ST","Level, ratio or national currency","A","Annual","1972","1972",0.8434845,"E","Estimated value"
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","04","Construction (F)","ST","Level, ratio or national currency","A","Annual","1973","1973",0.8404269,"E","Estimated value"
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","04","Construction (F)","ST","Level, ratio or national currency","A","Annual","1974","1974",0.8455206,"E","Estimated value"
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","04","Construction (F)","ST","Level, ratio or national currency","A","Annual","1975","1975",0.8052884,"E","Estimated value"
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","04","Construction (F)","ST","Level, ratio or national currency","A","Annual","1976","1976",0.7867108,"E","Estimated value"
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","04","Construction (F)","ST","Level, ratio or national currency","A","Annual","1977","1977",0.7994453,"E","Estimated value"
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","04","Construction (F)","ST","Level, ratio or national currency","A","Annual","1978","1978",0.7898307,"E","Estimated value"
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","04","Construction (F)","ST","Level, ratio or national currency","A","Annual","1979","1979",0.747251,"E","Estimated value"
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","04","Construction (F)","ST","Level, ratio or national currency","A","Annual","1980","1980",0.7511079,"E","Estimated value"
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","04","Construction (F)","ST","Level, ratio or national currency","A","Annual","1981","1981",0.7594328,"E","Estimated value"
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","04","Construction (F)","ST","Level, ratio or national currency","A","Annual","1982","1982",0.8741041,"E","Estimated value"
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","04","Construction (F)","ST","Level, ratio or national currency","A","Annual","1983","1983",0.8510736,"E","Estimated value"
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","04","Construction (F)","ST","Level, ratio or national currency","A","Annual","1984","1984",0.8526686,"E","Estimated value"
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","04","Construction (F)","ST","Level, ratio or national currency","A","Annual","1985","1985",0.8299139,"E","Estimated value"
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","04","Construction (F)","ST","Level, ratio or national currency","A","Annual","1986","1986",0.805362,"E","Estimated value"
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","04","Construction (F)","ST","Level, ratio or national currency","A","Annual","1987","1987",0.7819853,"E","Estimated value"
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","04","Construction (F)","ST","Level, ratio or national currency","A","Annual","1988","1988",0.7473426,"E","Estimated value"
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","04","Construction (F)","ST","Level, ratio or national currency","A","Annual","1989","1989",0.7733505,,
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","04","Construction (F)","ST","Level, ratio or national currency","A","Annual","1990","1990",0.7857239,,
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","04","Construction (F)","ST","Level, ratio or national currency","A","Annual","1991","1991",0.7798302,,
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","04","Construction (F)","ST","Level, ratio or national currency","A","Annual","1992","1992",0.7893739,,
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","04","Construction (F)","ST","Level, ratio or national currency","A","Annual","1993","1993",0.7738389,,
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","04","Construction (F)","ST","Level, ratio or national currency","A","Annual","1994","1994",0.7606551,,
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","04","Construction (F)","ST","Level, ratio or national currency","A","Annual","1995","1995",0.7523202,,
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","04","Construction (F)","ST","Level, ratio or national currency","A","Annual","1996","1996",0.7054853,,
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","04","Construction (F)","ST","Level, ratio or national currency","A","Annual","1997","1997",0.7074063,,
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","04","Construction (F)","ST","Level, ratio or national currency","A","Annual","1998","1998",0.7010361,,
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","04","Construction (F)","ST","Level, ratio or national currency","A","Annual","1999","1999",0.6802053,,
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","04","Construction (F)","ST","Level, ratio or national currency","A","Annual","2000","2000",0.7748523,,
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","04","Construction (F)","ST","Level, ratio or national currency","A","Annual","2001","2001",0.7450506,,
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","04","Construction (F)","ST","Level, ratio or national currency","A","Annual","2002","2002",0.6969066,,
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","04","Construction (F)","ST","Level, ratio or national currency","A","Annual","2003","2003",0.6683936,,
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","04","Construction (F)","ST","Level, ratio or national currency","A","Annual","2004","2004",0.660771,,
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","04","Construction (F)","ST","Level, ratio or national currency","A","Annual","2005","2005",0.6766564,,
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","04","Construction (F)","ST","Level, ratio or national currency","A","Annual","2006","2006",0.6659358,,
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","05","Trade, transport and communication (G_I)","ST","Level, ratio or national currency","A","Annual","1970","1970",0.8567814,"E","Estimated value"
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","05","Trade, transport and communication (G_I)","ST","Level, ratio or national currency","A","Annual","1971","1971",0.8423012,"E","Estimated value"
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","05","Trade, transport and communication (G_I)","ST","Level, ratio or national currency","A","Annual","1972","1972",0.844502,"E","Estimated value"
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","05","Trade, transport and communication (G_I)","ST","Level, ratio or national currency","A","Annual","1973","1973",0.8653236,"E","Estimated value"
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","05","Trade, transport and communication (G_I)","ST","Level, ratio or national currency","A","Annual","1974","1974",0.9080729,"E","Estimated value"
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","05","Trade, transport and communication (G_I)","ST","Level, ratio or national currency","A","Annual","1975","1975",0.8841013,"E","Estimated value"
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","05","Trade, transport and communication (G_I)","ST","Level, ratio or national currency","A","Annual","1976","1976",0.8748254,"E","Estimated value"
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","05","Trade, transport and communication (G_I)","ST","Level, ratio or national currency","A","Annual","1977","1977",0.8895289,"E","Estimated value"
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","05","Trade, transport and communication (G_I)","ST","Level, ratio or national currency","A","Annual","1978","1978",0.8644847,"E","Estimated value"
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","05","Trade, transport and communication (G_I)","ST","Level, ratio or national currency","A","Annual","1979","1979",0.8684449,"E","Estimated value"
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","05","Trade, transport and communication (G_I)","ST","Level, ratio or national currency","A","Annual","1980","1980",0.8648314,"E","Estimated value"
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","05","Trade, transport and communication (G_I)","ST","Level, ratio or national currency","A","Annual","1981","1981",0.8703579,"E","Estimated value"
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","05","Trade, transport and communication (G_I)","ST","Level, ratio or national currency","A","Annual","1982","1982",0.8506208,"E","Estimated value"
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","05","Trade, transport and communication (G_I)","ST","Level, ratio or national currency","A","Annual","1983","1983",0.7919742,"E","Estimated value"
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","05","Trade, transport and communication (G_I)","ST","Level, ratio or national currency","A","Annual","1984","1984",0.7671283,"E","Estimated value"
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","05","Trade, transport and communication (G_I)","ST","Level, ratio or national currency","A","Annual","1985","1985",0.7470366,"E","Estimated value"
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","05","Trade, transport and communication (G_I)","ST","Level, ratio or national currency","A","Annual","1986","1986",0.7246556,"E","Estimated value"
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","05","Trade, transport and communication (G_I)","ST","Level, ratio or national currency","A","Annual","1987","1987",0.6944097,"E","Estimated value"
"AUS","Australia","ULAIRU99","Labour Income Share (Real ULC)","05","Trade, transport and communication (G_I)","ST","Level, ratio or national currency","A","Annual","1988","1988",0.6779233,"E","Estimated value"
