"Country","Year","US100","UC1000","US100.lin_inter","US100.cst_inter","UC1000.lin_inter","UC1000.cst_inter"
"Japan",1984,0.577,0.538,0.577,0.577,0.538,0.538
"Japan",1985,0.59,0.537,0.59,0.59,0.537,0.537
"Japan",1986,0.58,0.541,0.58,0.58,0.541,0.541
"Japan",1987,0.586,0.539,0.586,0.586,0.539,0.539
"Japan",1988,0.574,0.537,0.574,0.574,0.537,0.537
"Japan",1989,0.571,0.539,0.571,0.571,0.539,0.539
"Japan",1990,0.574,0.535,0.574,0.574,0.535,0.535
"Japan",1991,0.619,0.585,0.619,0.619,0.585,0.585
"Japan",1992,0.613,0.575,0.613,0.613,0.575,0.575
"Japan",1993,0.614,0.575,0.614,0.614,0.575,0.575
"Japan",1994,0.624,0.594,0.624,0.624,0.594,0.594
"Japan",1995,0.615,0.586,0.615,0.615,0.586,0.586
"Japan",1996,0.576,0.546,0.576,0.576,0.546,0.546
"Japan",1997,0.596,0.569,0.596,0.596,0.569,0.569
"Japan",1998,0.6,0.573,0.6,0.6,0.573,0.573
"Japan",1999,0.596,0.569,0.596,0.596,0.569,0.569
"Japan",2000,0.629,0.601,0.629,0.629,0.601,0.601
"Japan",2001,0.625,0.598,0.625,0.625,0.598,0.598
"Japan",2002,0.677,0.647,0.677,0.677,0.647,0.647
"Japan",2003,0.583,0.557,0.583,0.583,0.557,0.557
"Japan",2004,0.585,0.559,0.585,0.585,0.559,0.559
"Japan",2005,0.582,0.556,0.582,0.582,0.556,0.556
"Japan",2006,0.581,0.555,0.581,0.581,0.555,0.555
"Japan",2007,0.571,0.529,0.571,0.571,0.529,0.529
"Japan",2008,0.569,0.526,0.569,0.569,0.526,0.526
"Japan",2009,0.587,0.542,0.587,0.587,0.542,0.542
"Japan",2010,0.577,0.506,0.577,0.577,0.506,0.506
"Japan",2011,0.617,0.543,0.617,0.617,0.543,0.543
"Netherlands",1970,NA,NA,NA,NA,NA,NA
"Netherlands",1971,NA,NA,NA,NA,NA,NA
"Netherlands",1972,NA,NA,NA,NA,NA,NA
"Netherlands",1973,NA,NA,NA,NA,NA,NA
"Netherlands",1974,NA,NA,NA,NA,NA,NA
"Netherlands",1975,0.847,0.855,0.847,0.847,0.855,0.855
"Netherlands",1976,0.849,0.856,0.849,0.849,0.856,0.856
"Netherlands",1977,0.845,0.854,0.845,0.845,0.854,0.854
"Netherlands",1978,0.848,0.853,0.848,0.848,0.853,0.853
"Netherlands",1979,0.846,0.855,0.846,0.846,0.855,0.855
"Netherlands",1980,0.851,0.854,0.851,0.851,0.854,0.854
"Netherlands",1981,0.838,0.86,0.838,0.838,0.86,0.86
"Netherlands",1982,0.866,0.878,0.866,0.866,0.878,0.878
"Netherlands",1983,0.881,0.89,0.881,0.881,0.89,0.89
"Netherlands",1984,0.853,0.888,0.853,0.853,0.888,0.888
"Netherlands",1985,0.755,0.805,0.755,0.755,0.805,0.805
"Netherlands",1986,0.761,0.804,0.761,0.761,0.804,0.804
"Netherlands",1987,0.764,0.803,0.764,0.764,0.803,0.803
"Netherlands",1988,0.762,0.803,0.762,0.762,0.803,0.803
"Netherlands",1989,0.758,0.794,0.758,0.758,0.794,0.794
"Netherlands",1990,0.779,0.764,0.779,0.779,0.764,0.764
"Netherlands",1991,0.78,0.764,0.78,0.78,0.764,0.764
"Netherlands",1992,0.789,0.774,0.789,0.789,0.774,0.774
"Netherlands",1993,0.786,0.774,0.786,0.786,0.774,0.774
"Netherlands",1994,0.77,0.764,0.77,0.77,0.764,0.764
"Netherlands",1995,0.766,0.76,0.766,0.766,0.76,0.76
"Netherlands",1996,0.762,0.758,0.762,0.762,0.758,0.758
"Netherlands",1997,0.771,0.764,0.771,0.771,0.764,0.764
"Netherlands",1998,0.777,0.762,0.777,0.777,0.762,0.762
"Netherlands",1999,0.772,0.765,0.772,0.772,0.765,0.765
"Netherlands",2000,0.785,0.772,0.785,0.785,0.772,0.772
"Netherlands",2001,0.786,0.78,0.786,0.786,0.78,0.78
"Netherlands",2002,0.787,0.78,0.787,0.787,0.78,0.78
"Netherlands",2003,0.784,0.785,0.784,0.784,0.785,0.785
"Netherlands",2004,0.787,0.788,0.787,0.787,0.788,0.788
"Netherlands",2005,0.789,0.79,0.789,0.789,0.79,0.79
"Netherlands",2006,0.799,0.78,0.799,0.799,0.78,0.78
"Netherlands",2007,0.786,0.778,0.786,0.786,0.778,0.778
"Netherlands",2008,0.791,0.78,0.791,0.791,0.78,0.78
"Netherlands",2009,0.832,0.818,0.832,0.832,0.818,0.818
"Netherlands",2010,0.83,0.817,0.83,0.83,0.817,0.817
"Netherlands",2011,0.804,0.783,0.804,0.804,0.783,0.783
"New Zealand",1970,NA,NA,NA,NA,NA,NA
"New Zealand",1971,0.263,0.528,0.263,0.263,0.528,0.528
"New Zealand",1972,NA,NA,0.2925,0.263,0.575,0.528
"New Zealand",1973,0.322,0.622,0.322,0.322,0.622,0.622
"New Zealand",1974,NA,NA,0.3345,0.322,0.569,0.622
"New Zealand",1975,0.347,0.516,0.347,0.347,0.516,0.516
"New Zealand",1976,NA,NA,0.352,0.347,0.5665,0.516
"New Zealand",1977,0.357,0.617,0.357,0.357,0.617,0.617
"New Zealand",1978,NA,NA,0.357,0.357,0.588,0.617
"New Zealand",1979,0.357,0.559,0.357,0.357,0.559,0.559
"New Zealand",1980,NA,NA,0.3315,0.357,0.5885,0.559
"New Zealand",1981,0.306,0.618,0.306,0.306,0.618,0.618
"New Zealand",1982,0.317,0.643,0.317,0.317,0.643,0.643
"New Zealand",1983,0.358,0.721,0.358,0.358,0.721,0.721
"New Zealand",1984,0.349,0.68,0.349,0.349,0.68,0.68
"New Zealand",1985,0.361,0.691,0.361,0.361,0.691,0.691
"New Zealand",1986,0.38,0.744,0.38,0.38,0.744,0.744
"New Zealand",1987,0.374,0.758,0.374,0.374,0.758,0.758
"New Zealand",1988,0.362,0.744,0.362,0.362,0.744,0.744
"New Zealand",1989,0.342,0.713,0.342,0.342,0.713,0.713
"New Zealand",1990,0.34,0.719,0.34,0.34,0.719,0.719
"New Zealand",1991,0.3,0.653,0.3,0.3,0.653,0.653
"New Zealand",1992,0.295,0.649,0.295,0.295,0.649,0.649
"New Zealand",1993,0.295,0.65,0.295,0.295,0.65,0.65
"New Zealand",1994,0.29,0.656,0.29,0.29,0.656,0.656
"New Zealand",1995,0.293,0.645,0.293,0.293,0.645,0.645
"New Zealand",1996,0.284,0.618,0.284,0.284,0.618,0.618
"New Zealand",1997,0.28,0.606,0.28,0.28,0.606,0.606
"New Zealand",1998,0.269,0.586,0.269,0.269,0.586,0.586
"New Zealand",1999,0.269,0.583,0.269,0.269,0.583,0.583
"New Zealand",2000,0.263,0.576,0.263,0.263,0.576,0.576
"New Zealand",2001,0.262,0.58,0.262,0.262,0.58,0.58
"New Zealand",2002,0.257,0.576,0.257,0.257,0.576,0.576
"New Zealand",2003,0.255,0.577,0.255,0.255,0.577,0.577
"New Zealand",2004,0.258,0.58,0.258,0.258,0.58,0.58
"New Zealand",2005,0.26,0.576,0.26,0.26,0.576,0.576
"New Zealand",2006,0.261,0.519,0.261,0.261,0.519,0.519
"New Zealand",2007,0.257,0.527,0.257,0.257,0.527,0.527
"New Zealand",2008,0.255,0.528,0.255,0.255,0.528,0.528
"New Zealand",2009,0.245,0.508,0.245,0.245,0.508,0.508
"New Zealand",2010,0.245,0.506,0.245,0.245,0.506,0.506
"New Zealand",2011,0.243,0.501,0.243,0.243,0.501,0.501
"Norway",1970,NA,NA,NA,NA,NA,NA
"Norway",1971,0.518,0.682,0.518,0.518,0.682,0.682
"Norway",1972,0.514,0.669,0.514,0.514,0.669,0.669
"Norway",1973,0.52,0.651,0.52,0.52,0.651,0.651
"Norway",1974,0.511,0.615,0.511,0.511,0.615,0.615
"Norway",1975,0.599,0.671,0.599,0.599,0.671,0.671
"Norway",1976,0.632,0.669,0.632,0.632,0.669,0.669
"Norway",1977,0.616,0.678,0.616,0.616,0.678,0.678
"Norway",1978,0.609,0.66,0.609,0.609,0.66,0.66
"Norway",1979,0.62,0.669,0.62,0.62,0.669,0.669
"Norway",1980,0.702,0.753,0.702,0.702,0.753,0.753
"Norway",1981,0.681,0.734,0.681,0.681,0.734,0.734
"Norway",1982,0.681,0.745,0.681,0.681,0.745,0.745
"Norway",1983,0.668,0.734,0.668,0.668,0.734,0.734
"Norway",1984,0.667,0.724,0.667,0.667,0.724,0.724
"Norway",1985,0.671,0.731,0.671,0.671,0.731,0.731
"Norway",1986,0.666,0.726,0.666,0.666,0.726,0.726
"Norway",1987,0.673,0.732,0.673,0.673,0.732,0.732
"Norway",1988,0.673,0.726,0.673,0.673,0.726,0.726
"Norway",1989,0.677,0.732,0.677,0.677,0.732,0.732
"Norway",1990,0.675,0.732,0.675,0.675,0.732,0.732
"Norway",1991,0.669,0.731,0.669,0.669,0.731,0.731
"Norway",1992,0.655,0.734,0.655,0.655,0.734,0.734
"Norway",1993,0.655,0.732,0.655,0.655,0.732,0.732
"Norway",1994,0.656,0.732,0.656,0.656,0.732,0.732
"Norway",1995,0.66,0.734,0.66,0.66,0.734,0.734
"Norway",1996,0.66,0.731,0.66,0.66,0.731,0.731
"Norway",1997,0.658,0.73,0.658,0.658,0.73,0.73
"Norway",1998,0.658,0.727,0.658,0.658,0.727,0.727
"Norway",1999,0.658,0.741,0.658,0.658,0.741,0.741
"Norway",2000,0.659,0.732,0.659,0.659,0.732,0.732
"Norway",2001,0.657,0.732,0.657,0.657,0.732,0.732
"Norway",2002,0.66,0.73,0.66,0.66,0.73,0.73
"Norway",2003,0.661,0.727,0.661,0.661,0.727,0.727
"Norway",2004,0.661,0.726,0.661,0.661,0.726,0.726
"Norway",2005,0.662,0.727,0.662,0.662,0.727,0.727
"Norway",2006,0.665,0.725,0.665,0.665,0.725,0.725
"Norway",2007,0.664,0.722,0.664,0.664,0.722,0.722
"Norway",2008,0.664,0.72,0.664,0.664,0.72,0.72
"Norway",2009,0.666,0.722,0.666,0.666,0.722,0.722
"Norway",2010,0.668,0.723,0.668,0.668,0.723,0.723
"Norway",2011,0.665,0.717,0.665,0.665,0.717,0.717
"Sweden",1970,NA,NA,NA,NA,NA,NA
"Sweden",1971,0.713,0.686,0.713,0.713,0.686,0.686
"Sweden",1972,0.801,0.76,0.801,0.801,0.76,0.76
"Sweden",1973,0.723,0.701,0.723,0.723,0.701,0.701
"Sweden",1974,0.95,0.898,0.95,0.95,0.898,0.898
"Sweden",1975,0.826,0.853,0.826,0.826,0.853,0.853
"Sweden",1976,0.762,0.797,0.762,0.762,0.797,0.797
"Sweden",1977,0.838,0.861,0.838,0.838,0.861,0.861
"Sweden",1978,0.786,0.816,0.786,0.786,0.816,0.816
"Sweden",1979,0.801,0.83,0.801,0.801,0.83,0.83
"Sweden",1980,0.805,0.832,0.805,0.805,0.832,0.832
"Sweden",1981,0.792,0.82,0.792,0.792,0.82,0.82
"Sweden",1982,0.75,0.782,0.75,0.75,0.782,0.782
"Sweden",1983,0.876,0.892,0.876,0.876,0.892,0.892
"Sweden",1984,0.816,0.838,0.816,0.816,0.838,0.838
"Sweden",1985,0.804,0.833,0.804,0.804,0.833,0.833
"Sweden",1986,0.799,0.827,0.799,0.799,0.827,0.827
"Sweden",1987,0.838,0.862,0.838,0.838,0.862,0.862
"Sweden",1988,0.856,0.877,0.856,0.856,0.877,0.877
"Sweden",1989,0.861,0.88,0.861,0.861,0.88,0.88
"Sweden",1990,0.851,0.871,0.851,0.851,0.871,0.871
"Sweden",1991,0.875,0.892,0.875,0.875,0.892,0.892
"Sweden",1992,0.864,0.881,0.864,0.864,0.881,0.881
"Sweden",1993,0.848,0.868,0.848,0.848,0.868,0.868
"Sweden",1994,0.805,0.829,0.805,0.805,0.829,0.829
"Sweden",1995,0.786,0.813,0.786,0.786,0.813,0.813
"Sweden",1996,0.735,0.762,0.735,0.735,0.762,0.762
"Sweden",1997,0.72,0.748,0.72,0.72,0.748,0.748
"Sweden",1998,0.717,0.749,0.717,0.717,0.749,0.749
"Sweden",1999,0.701,0.734,0.701,0.701,0.734,0.734
"Sweden",2000,0.672,0.71,0.672,0.672,0.71,0.71
"Sweden",2001,0.676,0.717,0.676,0.676,0.717,0.717
"Sweden",2002,0.748,0.778,0.748,0.748,0.778,0.778
"Sweden",2003,0.785,0.81,0.785,0.785,0.81,0.81
"Sweden",2004,0.776,0.802,0.776,0.776,0.802,0.802
"Sweden",2005,0.755,0.782,0.755,0.755,0.782,0.782
"Sweden",2006,0.736,0.769,0.736,0.736,0.769,0.769
"Sweden",2007,0.669,0.707,0.669,0.669,0.707,0.707
"Sweden",2008,0.641,0.681,0.641,0.641,0.681,0.681
"Sweden",2009,0.618,0.658,0.618,0.618,0.658,0.658
"Sweden",2010,0.617,0.656,0.617,0.617,0.656,0.656
"Sweden",2011,0.603,0.644,0.603,0.603,0.644,0.644
"Switzerland",1970,NA,NA,NA,NA,NA,NA
"Switzerland",1971,NA,NA,NA,NA,NA,NA
"Switzerland",1972,NA,NA,NA,NA,NA,NA
"Switzerland",1973,NA,NA,NA,NA,NA,NA
"Switzerland",1974,0.297,0.383,0.297,0.297,0.383,0.383
"Switzerland",1975,0.496,0.578,0.496,0.496,0.578,0.578
"Switzerland",1976,0.662,0.75,0.662,0.662,0.75,0.75
"Switzerland",1977,0.662,0.823,0.662,0.662,0.823,0.823
"Switzerland",1978,0.663,0.819,0.663,0.663,0.819,0.819
"Switzerland",1979,0.664,0.815,0.664,0.664,0.815,0.815
"Switzerland",1980,0.665,0.811,0.665,0.665,0.811,0.811
"Switzerland",1981,0.666,0.807,0.666,0.666,0.807,0.807
"Switzerland",1982,0.686,0.844,0.686,0.686,0.844,0.844
"Switzerland",1983,0.681,0.808,0.681,0.681,0.808,0.808
"Switzerland",1984,0.707,0.806,0.707,0.707,0.806,0.806
"Switzerland",1985,0.707,0.808,0.707,0.707,0.808,0.808
"Switzerland",1986,0.714,0.811,0.714,0.714,0.811,0.811
"Switzerland",1987,0.705,0.81,0.705,0.705,0.81,0.81
"Switzerland",1988,0.701,0.815,0.701,0.701,0.815,0.815
"Switzerland",1989,0.705,0.812,0.705,0.705,0.812,0.812
"Switzerland",1990,0.705,0.81,0.705,0.705,0.81,0.81
"Switzerland",1991,0.705,0.809,0.705,0.705,0.809,0.809
"Switzerland",1992,0.803,0.813,0.803,0.803,0.813,0.813
"Switzerland",1993,0.727,0.83,0.727,0.727,0.83,0.83
"Switzerland",1994,0.717,0.822,0.717,0.717,0.822,0.822
"Switzerland",1995,0.739,0.839,0.739,0.739,0.839,0.839
"Switzerland",1996,0.733,0.848,0.733,0.733,0.848,0.848
"Switzerland",1997,0.703,0.839,0.703,0.703,0.839,0.839
"Switzerland",1998,0.726,0.837,0.726,0.726,0.837,0.837
"Switzerland",1999,0.726,0.828,0.726,0.726,0.828,0.828
"Switzerland",2000,0.721,0.832,0.721,0.721,0.832,0.832
"Switzerland",2001,0.728,0.834,0.728,0.728,0.834,0.834
"Switzerland",2002,0.722,0.832,0.722,0.722,0.832,0.832
"Switzerland",2003,0.725,0.836,0.725,0.725,0.836,0.836
"Switzerland",2004,0.725,0.836,0.725,0.725,0.836,0.836
"Switzerland",2005,0.725,0.831,0.725,0.725,0.831,0.831
"Switzerland",2006,0.725,0.831,0.725,0.725,0.831,0.831
"Switzerland",2007,0.726,0.836,0.726,0.726,0.836,0.836
"Switzerland",2008,0.725,0.834,0.725,0.725,0.834,0.834
"Switzerland",2009,0.726,0.832,0.726,0.726,0.832,0.832
"Switzerland",2010,0.726,0.853,0.726,0.726,0.853,0.853
"Switzerland",2011,NA,NA,NA,NA,NA,NA
"United Kingdom",1970,NA,NA,NA,NA,NA,NA
"United Kingdom",1971,0.541,0.693,0.541,0.541,0.693,0.693
"United Kingdom",1972,0.513,0.694,0.513,0.513,0.694,0.694
"United Kingdom",1973,0.483,0.678,0.483,0.483,0.678,0.678
"United Kingdom",1974,0.525,0.629,0.525,0.525,0.629,0.629
"United Kingdom",1975,0.467,0.655,0.467,0.467,0.655,0.655
"United Kingdom",1976,0.483,0.684,0.483,0.483,0.684,0.684
"United Kingdom",1977,0.504,0.734,0.504,0.504,0.734,0.734
"United Kingdom",1978,0.504,0.748,0.504,0.504,0.748,0.748
"United Kingdom",1979,0.46,0.663,0.46,0.46,0.663,0.663
"United Kingdom",1980,0.46,0.641,0.46,0.46,0.641,0.641
"United Kingdom",1981,0.405,0.614,0.405,0.405,0.614,0.614
"United Kingdom",1982,0.253,0.478,0.253,0.253,0.478,0.478
"United Kingdom",1983,0.259,0.477,0.259,0.259,0.477,0.477
"United Kingdom",1984,0.258,0.459,0.258,0.258,0.459,0.459
"United Kingdom",1985,0.252,0.447,0.252,0.252,0.447,0.447
"United Kingdom",1986,0.25,0.443,0.25,0.25,0.443,0.443
"United Kingdom",1987,0.231,0.416,0.231,0.231,0.416,0.416
"United Kingdom",1988,0.214,0.387,0.214,0.214,0.387,0.387
"United Kingdom",1989,0.202,0.366,0.202,0.202,0.366,0.366
"United Kingdom",1990,0.199,0.359,0.199,0.199,0.359,0.359
"United Kingdom",1991,0.202,0.364,0.202,0.202,0.364,0.364
"United Kingdom",1992,0.211,0.381,0.211,0.211,0.381,0.381
"United Kingdom",1993,0.213,0.384,0.213,0.213,0.384,0.384
"United Kingdom",1994,0.216,0.391,0.216,0.216,0.391,0.391
"United Kingdom",1995,0.21,0.384,0.21,0.21,0.384,0.384
"United Kingdom",1996,0.204,0.375,0.204,0.204,0.375,0.375
"United Kingdom",1997,0.199,0.356,0.199,0.199,0.356,0.356
"United Kingdom",1998,0.196,0.352,0.196,0.196,0.352,0.352
"United Kingdom",1999,0.195,0.367,0.195,0.195,0.367,0.367
"United Kingdom",2000,0.19,0.364,0.19,0.19,0.364,0.364
"United Kingdom",2001,0.186,0.367,0.186,0.186,0.367,0.367
"United Kingdom",2002,0.185,0.372,0.185,0.185,0.372,0.372
"United Kingdom",2003,0.183,0.369,0.183,0.183,0.369,0.369
"United Kingdom",2004,0.178,0.425,0.178,0.178,0.425,0.425
"United Kingdom",2005,0.176,0.424,0.176,0.176,0.424,0.424
"United Kingdom",2006,0.171,0.421,0.171,0.171,0.421,0.421
"United Kingdom",2007,0.167,0.419,0.167,0.167,0.419,0.419
"United Kingdom",2008,0.166,0.424,0.166,0.166,0.424,0.424
"United Kingdom",2009,0.168,0.43,0.168,0.168,0.43,0.43
"United Kingdom",2010,0.172,0.435,0.172,0.172,0.435,0.435
"United Kingdom",2011,0.177,0.448,0.177,0.177,0.448,0.448
"United States",1970,NA,NA,NA,NA,NA,NA
"United States",1971,0.659,0.589,0.659,0.659,0.589,0.589
"United States",1972,0.659,0.588,0.659,0.659,0.588,0.588
"United States",1973,0.671,0.599,0.671,0.671,0.599,0.599
"United States",1974,0.675,0.601,0.675,0.675,0.601,0.601
"United States",1975,0.678,0.6,0.678,0.678,0.6,0.6
"United States",1976,0.672,0.599,0.672,0.672,0.599,0.599
"United States",1977,0.671,0.593,0.671,0.671,0.593,0.593
"United States",1978,0.683,0.605,0.683,0.683,0.605,0.605
"United States",1979,0.691,0.614,0.691,0.691,0.614,0.614
"United States",1980,0.699,0.62,0.699,0.699,0.62,0.62
"United States",1981,0.716,0.634,0.716,0.716,0.634,0.634
"United States",1982,0.704,0.63,0.704,0.704,0.63,0.63
"United States",1983,0.711,0.64,0.711,0.711,0.64,0.64
"United States",1984,0.701,0.641,0.701,0.701,0.641,0.641
"United States",1985,0.704,0.638,0.704,0.704,0.638,0.638
"United States",1986,0.658,0.634,0.658,0.658,0.634,0.634
"United States",1987,0.575,0.594,0.575,0.575,0.594,0.594
"United States",1988,0.578,0.596,0.578,0.578,0.596,0.596
"United States",1989,0.578,0.597,0.578,0.578,0.597,0.597
"United States",1990,0.579,0.597,0.579,0.579,0.597,0.597
"United States",1991,0.579,0.596,0.579,0.579,0.596,0.596
"United States",1992,0.58,0.594,0.58,0.58,0.594,0.594
"United States",1993,0.58,0.594,0.58,0.58,0.594,0.594
"United States",1994,0.579,0.594,0.579,0.579,0.594,0.594
"United States",1995,0.579,0.594,0.579,0.579,0.594,0.594
"United States",1996,0.579,0.59,0.579,0.579,0.59,0.59
"United States",1997,0.579,0.591,0.579,0.579,0.591,0.591
"United States",1998,0.58,0.587,0.58,0.58,0.587,0.587
"United States",1999,0.579,0.609,0.579,0.579,0.609,0.609
"United States",2000,0.578,0.611,0.578,0.578,0.611,0.611
"United States",2001,0.579,0.608,0.579,0.579,0.608,0.608
"United States",2002,0.584,0.589,0.584,0.584,0.589,0.589
"United States",2003,0.583,0.6,0.583,0.583,0.6,0.6
"United States",2004,0.583,0.602,0.583,0.583,0.602,0.602
"United States",2005,0.583,0.597,0.583,0.583,0.597,0.597
"United States",2006,0.582,0.599,0.582,0.582,0.599,0.599
"United States",2007,0.582,0.6,0.582,0.582,0.6,0.6
"United States",2008,0.582,0.597,0.582,0.582,0.597,0.597
"United States",2009,0.587,0.585,0.587,0.587,0.585,0.585
"United States",2010,0.587,0.589,0.587,0.587,0.589,0.589
"United States",2011,0.567,0.584,0.567,0.567,0.584,0.584
"Greece",1970,NA,NA,NA,NA,NA,NA
"Greece",1971,NA,NA,NA,NA,NA,NA
"Greece",1972,NA,NA,NA,NA,NA,NA
"Greece",1973,NA,NA,NA,NA,NA,NA
"Greece",1974,NA,NA,NA,NA,NA,NA
"Greece",1975,NA,NA,NA,NA,NA,NA
"Greece",1976,NA,NA,NA,NA,NA,NA
"Greece",1977,NA,NA,NA,NA,NA,NA
"Greece",1978,NA,NA,NA,NA,NA,NA
"Greece",1979,NA,NA,NA,NA,NA,NA
"Greece",1980,NA,NA,NA,NA,NA,NA
"Greece",1981,0.374,0.46,0.374,0.374,0.46,0.46
"Greece",1982,NA,NA,0.3705,0.374,0.4515,0.46
"Greece",1983,0.367,0.443,0.367,0.367,0.443,0.443
"Greece",1984,NA,NA,0.3745,0.367,0.458,0.443
"Greece",1985,0.382,0.473,0.382,0.382,0.473,0.473
"Greece",1986,0.382,0.465,0.382,0.382,0.465,0.465
"Greece",1987,0.383,0.469,0.383,0.383,0.469,0.469
"Greece",1988,0.4,0.477,0.4,0.4,0.477,0.477
"Greece",1989,0.4,0.481,0.4,0.4,0.481,0.481
"Greece",1990,0.465,0.581,0.465,0.465,0.581,0.581
"Greece",1991,0.484,0.606,0.484,0.484,0.606,0.606
"Greece",1992,0.463,0.604,0.463,0.463,0.604,0.604
"Greece",1993,0.485,0.615,0.485,0.485,0.615,0.615
"Greece",1994,NA,NA,0.485666666666667,0.485,0.618666666666667,0.615
"Greece",1995,NA,NA,0.486333333333333,0.485,0.622333333333333,0.615
"Greece",1996,0.487,0.626,0.487,0.487,0.626,0.626
"Greece",1997,0.487,0.628,0.487,0.487,0.628,0.628
"Greece",1998,0.49,0.629,0.49,0.49,0.629,0.629
"Greece",1999,0.486,0.63,0.486,0.486,0.63,0.63
"Greece",2000,0.488,0.632,0.488,0.488,0.632,0.632
"Greece",2001,NA,NA,0.4835,0.488,0.629,0.632
"Greece",2002,0.479,0.626,0.479,0.479,0.626,0.626
"Greece",2003,0.476,0.618,0.476,0.476,0.618,0.618
"Greece",2004,0.48,0.624,0.48,0.48,0.624,0.624
"Greece",2005,0.476,0.619,0.476,0.476,0.619,0.619
"Greece",2006,0.48,0.632,0.48,0.48,0.632,0.632
"Greece",2007,0.483,0.633,0.483,0.483,0.633,0.633
"Greece",2008,0.484,0.633,0.484,0.484,0.633,0.633
"Greece",2009,0.495,0.647,0.495,0.495,0.647,0.647
"Greece",2010,0.497,0.648,0.497,0.497,0.648,0.648
"Greece",2011,0.506,0.658,0.506,0.506,0.658,0.658
"Spain",1970,NA,NA,NA,NA,NA,NA
"Spain",1971,NA,NA,NA,NA,NA,NA
"Spain",1972,0.563,0.43,0.563,0.563,0.43,0.43
"Spain",1973,0.804,0.824,0.804,0.804,0.824,0.824
"Spain",1974,0.807,0.832,0.807,0.807,0.832,0.832
"Spain",1975,0.799,0.834,0.799,0.799,0.834,0.834
"Spain",1976,0.82,0.85,0.82,0.82,0.85,0.85
"Spain",1977,0.842,0.87,0.842,0.842,0.87,0.87
"Spain",1978,0.905,0.862,0.905,0.905,0.862,0.862
"Spain",1979,0.867,0.86,0.867,0.867,0.86,0.86
"Spain",1980,0.878,0.864,0.878,0.878,0.864,0.864
"Spain",1981,0.944,0.922,0.944,0.944,0.922,0.922
"Spain",1982,0.948,0.921,0.948,0.948,0.921,0.921
"Spain",1983,0.956,0.93,0.956,0.956,0.93,0.93
"Spain",1984,0.968,0.941,0.968,0.968,0.941,0.941
"Spain",1985,0.973,0.952,0.973,0.973,0.952,0.952
"Spain",1986,0.919,0.948,0.919,0.919,0.948,0.948
"Spain",1987,0.918,0.945,0.918,0.918,0.945,0.945
"Spain",1988,0.892,0.905,0.892,0.892,0.905,0.905
"Spain",1989,0.889,0.902,0.889,0.889,0.902,0.902
"Spain",1990,0.895,0.908,0.895,0.895,0.908,0.908
"Spain",1991,0.901,0.914,0.901,0.901,0.914,0.914
"Spain",1992,0.905,0.899,0.905,0.905,0.899,0.899
"Spain",1993,0.8,0.793,0.8,0.8,0.793,0.793
"Spain",1994,0.758,0.752,0.758,0.758,0.752,0.752
"Spain",1995,0.757,0.75,0.757,0.757,0.75,0.75
"Spain",1996,0.758,0.749,0.758,0.758,0.749,0.749
"Spain",1997,0.759,0.749,0.759,0.759,0.749,0.749
"Spain",1998,0.761,0.75,0.761,0.761,0.75,0.75
"Spain",1999,0.754,0.732,0.754,0.754,0.732,0.732
"Spain",2000,0.753,0.736,0.753,0.753,0.736,0.736
"Spain",2001,0.754,0.741,0.754,0.754,0.741,0.741
"Spain",2002,0.756,0.745,0.756,0.756,0.745,0.745
"Spain",2003,0.751,0.74,0.751,0.751,0.74,0.74
"Spain",2004,0.755,0.746,0.755,0.755,0.746,0.746
"Spain",2005,0.757,0.75,0.757,0.757,0.75,0.75
"Spain",2006,0.758,0.75,0.758,0.758,0.75,0.75
"Spain",2007,0.785,0.751,0.785,0.785,0.751,0.751
"Spain",2008,0.767,0.742,0.767,0.767,0.742,0.742
"Spain",2009,0.774,0.749,0.774,0.774,0.749,0.749
"Spain",2010,0.8,0.768,0.8,0.8,0.768,0.768
"Spain",2011,0.802,0.771,0.802,0.802,0.771,0.771
"Portugal",1970,0,0,0,0,0,0
"Portugal",1971,0,0,0,0,0,0
"Portugal",1972,0,0,0,0,0,0
"Portugal",1973,0,0,0,0,0,0
"Portugal",1974,0,0,0,0,0,0
"Portugal",1975,0.445,0.628,0.445,0.445,0.628,0.628
"Portugal",1976,0.371,0.53,0.371,0.371,0.53,0.53
"Portugal",1977,0.365,0.517,0.365,0.365,0.517,0.517
"Portugal",1978,0.471,0.636,0.471,0.471,0.636,0.636
"Portugal",1979,0.378,0.518,0.378,0.378,0.518,0.518
"Portugal",1980,0.55,0.639,0.55,0.55,0.639,0.639
"Portugal",1981,0.562,0.652,0.562,0.562,0.652,0.652
"Portugal",1982,0.544,0.633,0.544,0.544,0.633,0.633
"Portugal",1983,0.557,0.647,0.557,0.557,0.647,0.647
"Portugal",1984,0.536,0.623,0.536,0.536,0.623,0.623
"Portugal",1985,0.815,0.818,0.815,0.815,0.818,0.818
"Portugal",1986,0.826,0.829,0.826,0.826,0.829,0.829
"Portugal",1987,0.816,0.816,0.816,0.816,0.816,0.816
"Portugal",1988,0.736,0.75,0.736,0.736,0.75,0.75
"Portugal",1989,0.733,0.71,0.733,0.733,0.71,0.71
"Portugal",1990,0.787,0.758,0.787,0.787,0.758,0.758
"Portugal",1991,0.784,0.755,0.784,0.784,0.755,0.755
"Portugal",1992,0.785,0.758,0.785,0.785,0.758,0.758
"Portugal",1993,0.787,0.759,0.787,0.787,0.759,0.759
